Control ID,Industry,Process,Sub-process,Risk ID,Risk,Risk rating,Control objective,Control description,Control type,Control nature,Frequency,Assertions,COSO component,Key control,Fraud relevant,Control owner,Segregation of duties,Test of design,Test of operating effectiveness,Population / evidence source,Sample size guidance
TRE-04,All industries,Treasury,Borrowings,R-TRE-04,"Borrowings are entered into without authorisation, or are recorded incorrectly, misstating liabilities and finance cost.",High,Ensure borrowings are authorised and accurately recorded.,"New borrowing facilities and drawdowns require approval per the delegation of authority, with facilities above threshold approved by the Board. The Treasury Accountant records the instrument and agrees terms, interest and repayment schedules to the executed agreement.",Preventive,Manual,Event Driven,"E/O, A/V, C, R&O",Control Activities,Yes,No,Chief Financial Officer,Dealer does not record or settle the transaction.,Reconcile borrowing approval thresholds to the delegation of authority and Board minutes.,Inspect the full population of new facilities and drawdowns for approval; agree recorded terms to executed agreements.,Loan agreements; Board minutes,Full population
TRE-05,All industries,Treasury,Covenants,R-TRE-05,"Breach of a debt covenant is not identified, resulting in misclassification of debt and potential acceleration.",High,Ensure compliance with debt covenants is monitored and reported.,The Treasury Manager calculates covenant compliance each reporting period from the approved definitions and reports the position to the CFO and Audit Committee. Forecast headroom is assessed for the next twelve months.,Detective,Manual,Quarterly,"P&D, A/V",Control Activities,Yes,No,Chief Financial Officer,Calculation independently reviewed before reporting.,Inspect the covenant definitions per the agreements and the calculation methodology.,"For each period, re-perform the covenant calculations and inspect reporting to the CFO and Audit Committee.",Covenant compliance certificates and calculations,All periods
TRE-06,All industries,Treasury,Foreign Exchange,R-TRE-06,"Foreign exchange exposures are unidentified or unhedged, or derivatives are transacted without authorisation.",Medium,Ensure FX exposures are identified and hedging is transacted within approved mandates.,"The Treasury Manager identifies FX exposures monthly from forecast and balance sheet positions, and transacts hedges only within the limits and instrument types permitted by the Board-approved treasury policy. All deals are confirmed independently.",Preventive,Manual,Monthly,"A/V, C",Control Activities,Yes,Yes,Treasury Manager,"Dealing, confirmation and settlement performed by different individuals.",Inspect the treasury policy limits and permitted instruments.,Select a sample of deals; inspect that terms fall within policy limits and that independent confirmation was obtained.,Deal tickets; broker confirmations,25 deals
TRE-07,All industries,Treasury,Derivatives,R-TRE-07,"Derivatives are misvalued or hedge accounting is applied without qualifying documentation, misstating results and equity.",Medium,Ensure derivatives are valued correctly and hedge accounting is properly documented.,Derivative valuations are obtained from the counterparty and independently corroborated. Hedge designation documentation and effectiveness testing are prepared at inception and each reporting date and reviewed by the Financial Controller.,Detective,Manual,Quarterly,"A/V, P&D",Control Activities,Yes,No,Financial Controller,Valuation corroborated independently of the counterparty relationship manager.,Inspect the hedge documentation template and the effectiveness testing methodology.,"For a sample of hedges, inspect designation documentation, effectiveness testing and corroboration of valuation.",Hedge documentation; valuation support,All hedges in period
TRE-08,All industries,Treasury,Intercompany,R-TRE-08,Intercompany funding is advanced without authorisation or is not recorded consistently by both parties.,Medium,Ensure intercompany funding is authorised and agreed between entities.,Intercompany loans and funding require approval per the delegation of authority and are documented in an agreement. Balances are agreed between entities monthly and differences investigated.,Preventive,Manual,Monthly,"E/O, C, A/V",Control Activities,Yes,No,Group Financial Controller,Both entities confirm the balance independently.,Inspect the intercompany policy and the balance agreement process.,Select a sample of periods; inspect approval of new funding and evidence of balance agreement between entities.,Intercompany agreements and confirmations,3 to 5 periods
TRE-09,All industries,Treasury,Access & SoD,R-TRE-09,"A single individual can transact, confirm and settle a treasury deal, enabling unauthorised or concealed transactions.",High,"Ensure front, middle and back office treasury duties are segregated.","Treasury system and banking entitlements are configured so that dealing, confirmation and settlement are performed by different individuals. Access is reviewed quarterly by the CFO.",Preventive,Automated,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Chief Financial Officer,This control is the segregation mechanism; exceptions require documented mitigating controls.,"Inspect entitlement configuration across dealing, confirmation and settlement functions.","Inspect the quarterly access review and any conflicts identified, together with mitigating controls.",Treasury system access reports,All quarterly reviews
TAX-01,All industries,Tax,Current Tax,R-TAX-01,"The current tax provision is calculated incorrectly, misstating the tax charge and liability.",High,Ensure the current tax provision is accurate and supportable.,"The Tax Manager prepares the current tax computation from the statutory accounts, reconciling book to taxable profit and supporting each adjustment. The CFO reviews and approves the provision, with external adviser input on significant judgements.",Detective,Manual,Quarterly,"A/V, C",Control Activities,Yes,No,Chief Financial Officer,Preparer and approver are different; external adviser review for significant judgements.,Inspect the tax computation methodology and the review and approval requirements.,"For each period, re-perform the book to tax reconciliation for significant adjustments and inspect evidence of review and approval.",Tax computation workpapers,All periods in year
TAX-02,All industries,Tax,Deferred Tax,R-TAX-02,"Deferred tax balances are incomplete or measured at incorrect rates, misstating assets, liabilities and the tax charge.",High,Ensure deferred tax is complete and measured at the enacted rate.,"The Tax Manager prepares the deferred tax calculation from a full listing of temporary differences, applying enacted or substantively enacted rates, and assesses recoverability of deferred tax assets against forecast taxable profits. The CFO reviews and approves.",Detective,Manual,Annual,"A/V, C, P&D",Control Activities,Yes,No,Chief Financial Officer,"Recoverability assessment supported by approved forecasts, not prepared in isolation by tax.","Inspect the deferred tax methodology, the temporary difference listing and the recoverability criteria.",Re-perform the calculation for significant temporary differences; inspect rate support and the recoverability assessment and its approval.,Deferred tax workpapers; approved forecasts,Annual calculation
TAX-03,All industries,Tax,Uncertain Positions,R-TAX-03,"Uncertain tax positions are not identified or provided for, understating liabilities.",Medium,"Ensure uncertain tax positions are identified, measured and disclosed.","The Tax Manager maintains a register of uncertain tax positions, assessing each for probability and measurement at each reporting date with external adviser input. The CFO and Audit Committee review the register annually.",Detective,Manual,Annual,"A/V, C, P&D",Control Activities,Yes,No,Chief Financial Officer,External adviser input obtained independently of the preparer's conclusion.,Inspect the register and the assessment methodology.,Inspect the register and supporting assessments; agree significant positions to adviser correspondence and to Audit Committee reporting.,Uncertain tax position register,Full register
TAX-04,All industries,Tax,Indirect Tax,R-TAX-04,"Indirect tax returns are inaccurate or filed late, resulting in assessments, interest and penalties.",Medium,Ensure indirect tax returns are accurate and filed by the due date.,"Indirect tax returns are prepared from system reports, reconciled to the general ledger and to revenue and purchase records, independently reviewed by the Tax Manager, and filed by the statutory deadline.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Tax Manager,Preparer and reviewer are different individuals.,"Inspect the return preparation procedure, the reconciliation template and the filing calendar.",Select a sample of returns; re-perform the reconciliation to the ledger and inspect evidence of review and timely filing.,Indirect tax returns and reconciliations,25 returns or all if fewer
TAX-05,All industries,Tax,Transfer Pricing,R-TAX-05,"Intercompany transactions are not priced at arm's length or are not documented, creating exposure to adjustment and penalties.",Medium,Ensure intercompany pricing follows the transfer pricing policy and is documented.,Intercompany transactions are priced in accordance with the Board-approved transfer pricing policy. Local file and master file documentation is prepared or refreshed annually with external adviser support and reviewed by the CFO.,Preventive,Manual,Annual,"A/V, P&D",Control Activities,Yes,No,Chief Financial Officer,"Pricing set by policy, not negotiated between the transacting entities.",Inspect the transfer pricing policy and the documentation refresh cycle.,Inspect the documentation prepared in the period and evidence of CFO review; agree a sample of intercompany charges to the policy.,Transfer pricing documentation,Annual documentation
TAX-06,All industries,Tax,Compliance,R-TAX-06,"Tax payments and filings are missed or made late, resulting in interest and penalties.",Medium,Ensure all tax filings and payments are made by their due dates.,"The Tax Manager maintains a compliance calendar of all filing and payment obligations by jurisdiction, monitors completion, and reports status to the CFO monthly. Missed or at-risk deadlines are escalated.",Detective,Manual,Monthly,"C, P&D",Monitoring Activities,No,No,Tax Manager,Status independently reported to the CFO rather than self-certified without review.,Inspect the compliance calendar for completeness of obligations by jurisdiction.,Select a sample of months; inspect the status report and evidence of escalation of at-risk items.,Tax compliance calendar and status reports,3 to 5 months
TAX-07,All industries,Tax,Period End,R-TAX-07,"Tax accounts in the general ledger are not reconciled, so misstatements in tax balances go undetected.",Medium,Ensure tax balances reconcile to supporting computations and filings.,"The Tax Manager reconciles all tax accounts in the general ledger to computations, returns and payments quarterly. Reconciling items are explained and cleared and the reconciliation is reviewed by the Financial Controller.",Detective,IT-Dependent Manual,Quarterly,"C, A/V",Control Activities,Yes,No,Financial Controller,Preparer independent of reviewer.,Inspect the reconciliation template and the accounts covered.,Select a sample of quarters; verify accuracy of the reconciliation and evidence of review.,Quarterly tax account reconciliations,All quarters in period
FCR-01,All industries,Financial Close & Reporting,Close Process,R-FCR-01,"The close is not completed on a controlled basis, so errors are not identified before reporting.",Medium,Ensure the close is executed completely and on schedule.,"A close calendar and checklist assigns each task, owner and due date. The Financial Controller monitors completion daily through the close and confirms all tasks are complete and signed off before results are released.",Preventive,Manual,Monthly,"C, CO",Control Activities,Yes,No,Financial Controller,Task performer and checklist sign-off reviewer are different individuals.,Inspect the close calendar and checklist for completeness of tasks and assignment of owners.,"Select a sample of month ends; inspect the completed checklist, sign-offs and any tasks completed late.",Monthly close checklists,3 to 5 month ends
FCR-02,All industries,Financial Close & Reporting,Journal Entries,R-FCR-02,"Unauthorised or unsupported journal entries are posted, misstating the financial statements.",High,Ensure journal entries are supported and independently approved before posting.,All manual journal entries require supporting documentation and electronic approval by a reviewer other than the preparer before posting. The ERP prevents a preparer from approving their own entry.,Preventive,Automated,Per Transaction,"E/O, A/V, C",Control Activities,Yes,Yes,Financial Controller,Preparer cannot approve own journal; enforced by system configuration.,Inspect the journal workflow configuration confirming preparer and approver must differ.,Select a sample of manual journals; inspect supporting documentation and approval prior to posting. Test the configuration by attempting self-approval.,Manual journal entry listing,25 journals
FCR-03,All industries,Financial Close & Reporting,Journal Entries,R-FCR-03,"Journals posted outside normal parameters are used to manipulate reported results, including through management override.",High,Ensure high-risk and non-standard journals are identified and scrutinised.,"The Financial Controller reviews a monthly report of high-risk journals, including those posted after the close cutoff, to seldom-used accounts, in round amounts, by unusual users, or above threshold, and documents investigation of each.",Detective,IT-Dependent Manual,Monthly,"E/O, A/V",Control Activities,Yes,Yes,Financial Controller,Reviewer independent of journal preparation; the CFO's own journals are reviewed by the Audit Committee chair.,Inspect the criteria defining high-risk journals and confirm the report captures each criterion.,"Select a sample of month ends; inspect the report, the investigation documented, and conclusions reached.",Monthly high-risk journal reports,3 to 5 month ends
FCR-04,All industries,Financial Close & Reporting,Account Reconciliation,R-FCR-04,"Balance sheet accounts are not reconciled, so errors and unsupported balances persist undetected.",High,Ensure all balance sheet accounts are reconciled and reviewed each period.,"All balance sheet accounts are reconciled monthly to supporting documentation. Reconciliations are reviewed and approved by a reviewer independent of the preparer, with review depth based on account risk rating.",Detective,IT-Dependent Manual,Monthly,"E/O, C, A/V, R&O",Control Activities,Yes,No,Financial Controller,Preparer and reviewer are different; the reviewer does not post to the accounts reconciled.,"Inspect the reconciliation policy, the account risk rating and the review requirements by rating.","Select a sample of account-months across risk ratings; verify support, accuracy and evidence of timely review.",Monthly account reconciliations,25 account-months
FCR-05,All industries,Financial Close & Reporting,Account Reconciliation,R-FCR-05,"Reconciling items are carried forward indefinitely, masking errors or unrecorded transactions.",Medium,"Ensure reconciling items are aged, investigated and cleared.","Reconciling items are aged on each reconciliation. Items above threshold or older than 60 days are escalated to the Financial Controller with a clearance plan, and progress is monitored monthly.",Detective,Manual,Monthly,"A/V, C",Control Activities,Yes,No,Financial Controller,Escalation independent of the preparer of the reconciliation.,Inspect the ageing thresholds and escalation criteria.,"Select a sample of reconciliations with aged items; inspect escalation, clearance plans and progress.",Monthly reconciliation ageing reports,25 reconciliations
FCR-06,All industries,Financial Close & Reporting,Consolidation,R-FCR-06,"The consolidation is inaccurate, misstating group results and position.",High,Ensure the consolidation is complete and accurate.,"The Group Financial Controller reconciles the consolidation output to submitted entity reporting packs, confirms all entities in scope are included, and reviews consolidation journals for support and approval.",Detective,IT-Dependent Manual,Monthly,"C, A/V, P&D",Control Activities,Yes,No,Group Financial Controller,Consolidation journals prepared and reviewed by different individuals.,"Inspect the consolidation process, the entity scope listing and the journal approval requirement.","Select a sample of periods; agree entity packs to the consolidation, confirm scope completeness, and inspect approval of consolidation journals.",Consolidation workbooks and entity packs,3 to 5 periods
FCR-07,All industries,Financial Close & Reporting,Intercompany,R-FCR-07,"Intercompany balances and transactions do not eliminate, misstating group results.",Medium,Ensure intercompany balances are matched and eliminated in full.,"Intercompany balances and transactions are matched between entities each period. Unmatched differences above threshold are investigated and resolved before consolidation, and residual differences are approved by the Group Financial Controller.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Group Financial Controller,Both entities confirm; neither resolves a difference unilaterally.,Inspect the matching process and the tolerance for residual differences.,"Select a sample of periods; inspect the matching report, investigation of differences and approval of residuals.",Intercompany matching reports,3 to 5 periods
FCR-08,All industries,Financial Close & Reporting,Translation,R-FCR-08,"Foreign currency translation is applied at incorrect rates or to incorrect balances, misstating results and reserves.",Medium,Ensure foreign currency translation uses approved rates and correct methodology.,"Exchange rates are loaded from an approved independent source and locked for the period. The Group Financial Controller reviews the translation, confirming closing rates for balance sheet items and average rates for income statement items, and agrees the translation reserve movement.",Detective,IT-Dependent Manual,Monthly,"A/V, P&D",Control Activities,Yes,No,Group Financial Controller,Rate loading and review performed by different individuals.,"Inspect the rate source, the loading process and the translation methodology configuration.",Select a sample of periods; agree rates to the independent source and re-perform the translation reserve movement.,Rate tables; translation workpapers,3 to 5 periods
FCR-09,All industries,Financial Close & Reporting,Estimates,R-FCR-09,"Significant accounting estimates are biased or unsupported, misstating the financial statements.",High,"Ensure significant estimates are supported, challenged and approved.","Each significant estimate is documented with its methodology, key assumptions and supporting data. The CFO reviews and challenges the assumptions, and the Audit Committee is informed of significant judgements and changes in assumptions.",Detective,Manual,Quarterly,"A/V, P&D",Control Activities,Yes,Yes,Chief Financial Officer,Preparer of the estimate is not the approver; Audit Committee provides independent oversight.,Inspect the estimates register and the documentation standard for methodology and assumptions.,"For a sample of estimates, inspect the documentation, evidence of challenge, and reporting to the Audit Committee.",Estimates register and workpapers,All significant estimates
FCR-10,All industries,Financial Close & Reporting,Financial Reporting,R-FCR-10,The financial statements contain errors or omit required disclosures.,High,Ensure the financial statements are accurate and complete before issue.,"The financial statements are agreed to the consolidation and supporting schedules, a disclosure checklist against the applicable framework is completed and reviewed, and the CFO and Audit Committee approve the statements before issue.",Detective,Manual,Annual,"P&D, A/V, C",Control Activities,Yes,No,Chief Financial Officer,"Preparer, reviewer and approver are different; Audit Committee approval is independent of management.",Inspect the disclosure checklist and the review and approval requirements.,"Inspect the completed checklist, tie-out of the statements to the consolidation, and evidence of CFO and Audit Committee approval.",Financial statements; disclosure checklist; minutes,Annual and interim reporting
FCR-11,All industries,Financial Close & Reporting,Management Review,R-FCR-11,Errors in reported results are not detected because management review is insufficiently precise.,High,Ensure management review of results operates at a level of precision capable of detecting misstatement.,"The CFO reviews results against budget, forecast and prior period at a defined level of disaggregation, investigating variances exceeding defined thresholds and documenting the explanation and corroboration for each.",Detective,Manual,Monthly,"A/V, C, E/O",Monitoring Activities,Yes,No,Chief Financial Officer,Explanations corroborated to underlying data rather than accepted from the preparer.,"Inspect the review template, the level of disaggregation and the variance thresholds.","Select a sample of month ends; inspect the variances investigated, the corroboration obtained and the conclusions documented.",Monthly management review files,3 to 5 month ends
ITGC-01,All industries,IT & Technology,Access Provisioning,R-ITGC-01,"Users are granted system access beyond what their role requires, enabling unauthorised transactions.",High,Ensure access is granted only on documented authorisation appropriate to the role.,New user access and changes to entitlements require a request approved by the user's line manager and the application owner before provisioning by IT Security. Access is granted on the basis of predefined roles.,Preventive,IT-Dependent Manual,Per Transaction,Indirect (ITGC),Control Activities,Yes,Yes,IT Security Manager,"Requestor, approver and provisioner are different individuals.",Inspect the access request workflow and the role definitions.,Select a sample of access grants and changes; inspect approval by line manager and application owner prior to provisioning.,Access request tickets; system access logs,25 access grants
ITGC-02,All industries,IT & Technology,Access Deprovisioning,R-ITGC-02,"Access is not revoked on termination or transfer, leaving active credentials for individuals without a business need.",High,Ensure access is revoked promptly on termination or role change.,"HR notifies IT Security of terminations and transfers through an automated feed. Access is disabled within one business day of the termination date, and IT Security reconciles the HR leaver report to disabled accounts monthly.",Detective,IT-Dependent Manual,Monthly,Indirect (ITGC),Control Activities,Yes,Yes,IT Security Manager,Reconciliation performed by someone other than the individual disabling accounts.,Inspect the HR to IT notification feed and the monthly reconciliation template.,Select a sample of leavers; inspect the date access was disabled against the termination date. Inspect monthly reconciliations for exceptions.,HR leaver reports; account status reports,25 leavers
ITGC-03,All industries,IT & Technology,Privileged Access,R-ITGC-03,"Privileged or superuser access is held more widely than necessary, permitting undetected changes to data or configuration.",High,"Ensure privileged access is restricted, justified and monitored.",Privileged accounts are restricted to named individuals with documented business justification approved by the IT Director. Privileged activity is logged and the log is reviewed monthly by a reviewer independent of the account holders.,Preventive,IT-Dependent Manual,Monthly,Indirect (ITGC),Control Activities,Yes,Yes,IT Director,Log reviewer must not hold privileged access to the system reviewed.,"Inspect the privileged access register, justifications and the logging configuration.","Inspect the privileged access listing for approval, and a sample of monthly log reviews for evidence of independent review and follow-up.",Privileged access register; activity logs,Full listing plus 3 to 5 log reviews
ITGC-04,All industries,IT & Technology,Access Review,R-ITGC-04,Accumulated entitlements are not detected because access is never re-examined after it is granted.,High,Ensure user access is periodically recertified by the business.,"Application owners recertify all user access quarterly, confirming continued business need and appropriateness. Access identified as no longer required is revoked within ten business days and completion is tracked centrally.",Detective,IT-Dependent Manual,Quarterly,Indirect (ITGC),Monitoring Activities,Yes,Yes,Application Owner,"Recertification performed by the business owner, not by IT or by the user.","Inspect the recertification procedure, scope of applications and the revocation timeframe.","For each quarter, inspect completed recertifications, exceptions identified and evidence that revocations were actioned.",Quarterly access recertification records,All quarters in period
ITGC-05,All industries,IT & Technology,Authentication,R-ITGC-05,Weak authentication permits unauthorised access to financially significant systems.,Medium,Ensure authentication settings meet the security standard.,"Password complexity, length, expiry, lockout and multi-factor authentication settings are configured to the approved security standard on all financially significant systems, and configuration is reviewed annually.",Preventive,Automated,Annual,Indirect (ITGC),Control Activities,Yes,No,IT Security Manager,Configuration changes require approval separate from the administrator applying them.,Compare configured settings on each in-scope system to the approved security standard.,Inspect current configuration screenshots or extracts for each in-scope system and the annual review documentation.,System configuration extracts,All in-scope systems
ITGC-06,All industries,IT & Technology,Change Management,R-ITGC-06,"Changes are migrated to production without authorisation or testing, disrupting processing or corrupting financial data.",High,Ensure changes are tested and approved before migration to production.,"Changes follow the documented change process: requested and approved, developed, tested including user acceptance where applicable, and approved by the change advisory board before migration to production.",Preventive,IT-Dependent Manual,Per Transaction,Indirect (ITGC),Control Activities,Yes,No,IT Director,Developer cannot approve or migrate their own change.,Inspect the change management procedure and the approval gates before production migration.,"Select a sample of changes; inspect the request, approval, test evidence and pre-migration approval.",Change management tickets,25 changes
ITGC-07,All industries,IT & Technology,Emergency Changes,R-ITGC-07,Emergency changes bypass the standard process and are never subsequently reviewed.,Medium,Ensure emergency changes are justified and retrospectively approved.,"Emergency changes require verbal authorisation at the time and full documentation and retrospective approval by the change advisory board within five business days, with justification for the emergency route.",Detective,Manual,Event Driven,Indirect (ITGC),Control Activities,Yes,Yes,IT Director,Retrospective approver is not the individual who made the change.,Inspect the emergency change procedure and the retrospective approval requirement.,Inspect the full population of emergency changes for justification and retrospective approval within the required period.,Emergency change log,Full population
ITGC-08,All industries,IT & Technology,Segregation,R-ITGC-08,"Developers hold access to production, enabling unapproved changes to code or data.",High,Ensure development and production environments and access are segregated.,"Development, test and production environments are separate. Developers do not hold write access to production; migration is performed by a separate release function. Exceptions require documented approval and compensating monitoring.",Preventive,Automated,Per Transaction,Indirect (ITGC),Control Activities,Yes,Yes,IT Director,This control is the segregation mechanism; exceptions monitored through privileged activity logging.,Inspect environment architecture and production access listings for development personnel.,Inspect the production access listing for developer accounts and evaluate any approved exceptions and their compensating controls.,Production access listings,Full listing
ITGC-09,All industries,IT & Technology,Backup,R-ITGC-09,"Backups fail or are not recoverable, so financial data cannot be restored after an incident.",Medium,Ensure backups complete successfully and are recoverable.,"Backups run to the defined schedule and completion is monitored daily, with failures investigated and re-run. Restoration testing is performed at least annually and results documented.",Detective,IT-Dependent Manual,Daily,Indirect (ITGC),Control Activities,Yes,No,IT Operations Manager,Monitoring performed independently of backup job configuration.,"Inspect the backup schedule, monitoring process and the restoration testing requirement.",Select a sample of days; inspect backup completion and resolution of failures. Inspect the annual restoration test results.,Backup logs; restoration test records,25 days plus annual test
ITGC-10,All industries,IT & Technology,Job Scheduling,R-ITGC-10,"Scheduled jobs fail without detection, resulting in incomplete or inaccurate financial processing.",Medium,Ensure batch job failures are detected and resolved.,"Financially significant batch jobs are monitored on completion. Failures generate an alert, are logged, investigated and re-run, and unresolved failures are escalated to the IT Operations Manager.",Detective,IT-Dependent Manual,Daily,Indirect (ITGC),Control Activities,Yes,No,IT Operations Manager,Job configuration changes approved separately from job execution monitoring.,"Inspect the job schedule, the list of financially significant jobs and the alerting configuration.","Select a sample of days; inspect the failure log, investigation and resolution of each failure.",Job scheduler logs,25 days
TPM-01,All industries,Third Party Management,Onboarding,R-TPM-01,"Third parties are engaged without assessment of their financial, operational or integrity risk.",Medium,Ensure third parties are risk assessed and approved before engagement.,"Prospective third parties undergo due diligence proportionate to their risk tier, covering financial standing, sanctions and adverse media screening, and are approved by the Procurement Director before contracting.",Preventive,Manual,Event Driven,Indirect (ELC),Risk Assessment,Yes,Yes,Procurement Director,Requesting business unit does not perform or approve its own due diligence.,Inspect the due diligence procedure and the risk tiering criteria.,"Select a sample of new third parties; inspect the due diligence performed, screening results and approval before contracting.",Third party onboarding files,25 onboardings
TPM-02,All industries,Third Party Management,Contracting,R-TPM-02,"Contracts are executed without review, omitting protections over data, audit rights and service levels.",Medium,Ensure contracts are reviewed and executed under delegated authority.,"Contracts are reviewed by Legal against the approved contracting standards, including data protection, right to audit, service levels and termination, and are executed by an authorised signatory per the delegation of authority.",Preventive,Manual,Event Driven,R&O,Control Activities,Yes,No,General Counsel,Negotiator does not execute the contract; signature authority held separately.,Inspect the contracting standards and the signature authority matrix.,Select a sample of contracts; inspect legal review and execution by an authorised signatory.,Contract register,25 contracts
TPM-03,All industries,Third Party Management,Assurance,R-TPM-03,Controls at a service organisation processing financially significant transactions are ineffective and this is not detected.,High,Ensure assurance is obtained over controls at service organisations.,"For each service organisation supporting a financially significant process, the Financial Controller obtains and reviews the annual SOC 1 Type 2 report, evaluating the opinion, exceptions noted, and the period covered against the reporting period.",Detective,Manual,Annual,Indirect (ELC),Monitoring Activities,Yes,No,Financial Controller,Review performed by finance rather than by the relationship owner alone.,Inspect the register of in-scope service organisations and the review template.,"For each in-scope service organisation, inspect the SOC 1 report obtained, the documented review, and the assessment of any qualifications or exceptions.",SOC 1 reports and review memoranda,All in-scope service organisations
TPM-04,All industries,Third Party Management,Assurance,R-TPM-04,Complementary user entity controls assumed by the service organisation are not implemented at the entity.,High,Ensure complementary user entity controls are identified and operating.,"The Financial Controller extracts the complementary user entity controls from each SOC 1 report, maps them to controls operating at the entity, and confirms their operating effectiveness. Gaps are remediated and tracked.",Detective,Manual,Annual,Indirect (ELC),Monitoring Activities,Yes,No,Financial Controller,Mapping reviewed independently of the process owner responsible for the control.,Inspect the CUEC mapping methodology and the remediation tracking.,"For each SOC 1 report, inspect the CUEC listing, the mapping to entity controls and evidence those controls operate.",CUEC mapping workpapers,All in-scope reports
TPM-05,All industries,Third Party Management,Assurance,R-TPM-05,Controls at a subservice organisation carved out of the SOC 1 report are not covered by any assurance.,Medium,Ensure carved-out subservice organisations are identified and addressed.,"For each SOC 1 report using the carve-out method, the Financial Controller identifies the subservice organisations excluded and obtains assurance over them directly or documents the alternative procedures performed.",Detective,Manual,Annual,Indirect (ELC),Monitoring Activities,No,No,Financial Controller,Assessment documented and reviewed rather than assumed covered.,Inspect the methodology for identifying carve-outs from SOC 1 reports.,"For each carve-out identified, inspect the assurance obtained or the alternative procedures documented.",SOC 1 reports; subservice assessments,All carve-outs identified
TPM-06,All industries,Third Party Management,Monitoring,R-TPM-06,"Third party performance deteriorates without detection, disrupting processes on which reporting depends.",Low,Ensure third party performance is monitored against contracted service levels.,"Relationship owners review performance against contracted service levels quarterly for tier one third parties, document issues and escalate persistent underperformance to the Procurement Director.",Detective,Manual,Quarterly,Indirect (ELC),Monitoring Activities,No,No,Procurement Director,Escalation route independent of the relationship owner.,Inspect the monitoring procedure and the tiering that determines review frequency.,Select a sample of tier one third parties; inspect quarterly performance reviews and evidence of escalation where relevant.,Third party performance reviews,25 reviews
ELC-01,All industries,Governance & Entity Level Controls,Control Environment,R-ELC-01,"Ethical standards are not communicated or reinforced, permitting a culture in which misconduct is tolerated.",Medium,Ensure the code of conduct is communicated and acknowledged.,"The code of conduct is issued to all employees on hire and annually thereafter, with electronic acknowledgement tracked to completion. Non-completion is escalated to the line manager and to HR.",Preventive,IT-Dependent Manual,Annual,Indirect (ELC),Control Environment,Yes,Yes,General Counsel,Completion tracked centrally rather than self-certified by business units.,"Inspect the code of conduct, the distribution process and the tracking mechanism.","Inspect the annual completion report, the rate achieved and evidence of escalation for non-completion.",Acknowledgement tracking reports,Annual cycle
ELC-02,All industries,Governance & Entity Level Controls,Control Environment,R-ELC-02,"Concerns about misconduct are not reported or are not investigated, allowing fraud to continue undetected.",High,Ensure a whistleblower channel operates and reports are investigated.,"An independently operated whistleblower hotline permits anonymous reporting. Reports are logged, triaged and investigated under a documented protocol, and the Audit Committee receives a summary of all reports and their outcomes each quarter.",Detective,Manual,Quarterly,Indirect (ELC),Information & Communication,Yes,Yes,Audit Committee Chair,Hotline operated by an independent provider; reports concerning senior management routed directly to the Audit Committee.,"Inspect the whistleblower policy, the independence of the provider and the investigation protocol.","Inspect the report log and, for a sample, the investigation performed and the outcome. Inspect quarterly Audit Committee reporting.",Whistleblower log; Audit Committee minutes,All quarters; 25 reports
ELC-03,All industries,Governance & Entity Level Controls,Governance,R-ELC-03,The Audit Committee lacks the independence or competence to challenge management effectively.,High,Ensure the Audit Committee is appropriately composed and discharges its responsibilities.,"The Audit Committee comprises independent non-executive directors including at least one with recent and relevant financial experience. It meets at least quarterly against a terms of reference covering financial reporting, internal control, internal audit and external audit, and meets privately with internal and external audit.",Preventive,Manual,Quarterly,Indirect (ELC),Control Environment,Yes,No,Board of Directors,Committee independent of management; private sessions held without management present.,Inspect the terms of reference and the composition against independence and competence criteria.,"Inspect minutes for each meeting in the period, confirming coverage of the terms of reference and the holding of private sessions.",Audit Committee terms of reference and minutes,All meetings in period
ELC-04,All industries,Governance & Entity Level Controls,Risk Assessment,R-ELC-04,"Risks to financial reporting are not identified, so controls are not designed to address them.",High,Ensure risks to financial reporting are identified and assessed periodically.,"Management performs an annual financial reporting risk assessment covering significant accounts, disclosures and processes, considering changes in the business, systems and the external environment. Results drive the scoping of the control framework and are reviewed by the Audit Committee.",Preventive,Manual,Annual,Indirect (ELC),Risk Assessment,Yes,No,Chief Financial Officer,Assessment challenged by the Audit Committee independently of management.,Inspect the risk assessment methodology and its linkage to control scoping.,"Inspect the annual assessment, the changes made to scope as a result, and evidence of Audit Committee review.",Annual risk assessment documentation,Annual assessment
ELC-05,All industries,Governance & Entity Level Controls,Risk Assessment,R-ELC-05,"Fraud risks, including management override, are not specifically assessed or addressed.",High,Ensure fraud risks are assessed and responded to.,"An annual fraud risk assessment identifies fraud schemes relevant to the organisation, the incentives, opportunities and rationalisations present, and maps each to controls. Management override risk is specifically addressed. Results are reported to the Audit Committee.",Preventive,Manual,Annual,Indirect (ELC),Risk Assessment,Yes,Yes,Chief Financial Officer,Assessment includes risks arising from management itself and is reviewed by the Audit Committee.,"Inspect the fraud risk assessment methodology, including coverage of management override.","Inspect the annual assessment, the mapping of schemes to controls, and reporting to the Audit Committee.",Fraud risk assessment documentation,Annual assessment
