Reference,Industry,Process,Sub-process,Risk,Why this matters,Risk rating,Risk category,Audit objective,What to review,Procedures,Red flags,Evidence to request,Measures
IA-P2P-11,All industries,Procure to Pay,"Accruals, Cut-Off and Accounts Payable Integrity","Liabilities are omitted at period end, or the payables ledger contains balances that no longer represent real obligations.",Leaving out bills that have already been incurred makes profit look better than it is.,Medium,Financial,"Confirm that payables and accruals are complete, valid and correctly cut off.","1. Completeness of accruals for goods and services received not invoiced
2. Cut-off testing around period end
3. Ageing of the payables ledger and old unpaid balances
4. Debit balances and unapplied credits in payables
5. Reconciliation of payables ledger to the general ledger","1. Test cut-off by examining invoices received after period end and tracing them to the correct period.
2. Test the accrual calculation against the goods received not invoiced report and known service commitments.
3. Age the payables ledger and investigate balances outstanding beyond normal terms — they may be disputed, duplicated or fictitious.
4. Reconcile the subledger to the general ledger and test reconciling items.","1. Accruals estimated as a flat percentage with no underlying data
2. Old payables balances never queried by the supplier
3. Reconciling items rolling forward every period
4. Invoices held in a drawer until the new period","1. Accrual calculations and GRNI reports
2. Post period-end invoice register
3. Payables ageing
4. Subledger to ledger reconciliations","1. Accrual accuracy on lookback
2. Payables aged over terms
3. Unreconciled differences"
IA-PAY-01,All industries,Payroll,Payroll System Access and Segregation of Duties,"A single person can create an employee, change pay details and release the payment, allowing fabricated employees or altered pay to reach the bank without detection.","If one person can add an employee, set their pay and release the payment, nothing stops them paying themselves.",High,Fraud,Confirm that payroll system access is restricted by role and that no individual controls the full payroll cycle.,"1. Role design and who holds each payroll role
2. Conflicting combinations — master data maintenance with payroll processing or payment release
3. Access of HR, Finance and IT staff to payroll data
4. Privileged and vendor support accounts
5. Access reviews and removal on transfer or exit","1. Extract all users with payroll system access and map their roles against a segregation of duties matrix; quantify unmitigated conflicts.
2. Test whether any single user can both amend an employee record and approve the pay run, using the system rather than the policy as evidence.
3. Test that IT and vendor support accounts cannot post or release payroll transactions, and review their activity logs.
4. Trace payroll staff who changed role or left, and measure days to access removal.
5. Test whether the last access review was performed by the payroll owner and whether flagged removals actually happened.","1. Emergency or firefighter access left permanently enabled
2. Shared accounts used at pay run time
3. Access reviews approved in bulk on one day
4. Support vendor with standing production access","1. Payroll system user and role listings
2. Segregation of duties matrix
3. Access review evidence
4. Privileged activity logs
5. HR joiner, mover and leaver data","1. Unmitigated SoD conflicts
2. Days to revoke access
3. Privileged sessions at pay run"
IA-PAY-02,All industries,Payroll,Employee Master Data,"Bank details, salary or employment status are changed without authorisation or verification, diverting pay or inflating it.",Changing bank details or salary is the quickest way to redirect or inflate pay.,High,Fraud,"Verify that every change to employee master data is authorised, independently verified and traceable to a source document.","1. Authorisation and verification of salary, bank and status changes
2. Source documentation retained for each change
3. Change reporting and who reviews it
4. Duplicate bank accounts, addresses or tax identifiers
5. Changes made close to the pay run cut-off","1. Extract the full master data change log for the period and reconcile it to authorised change forms.
2. Test all bank detail changes for independent verification back to a source the employee did not supply alone.
3. Run duplicate analytics across bank account, address, national insurance or SIN, and email across the active population.
4. Analyse changes made within 48 hours of the pay run cut-off and test each for approval.
5. Test whether the change report is genuinely reviewed, by re-performing the review for one period.","1. Bank change immediately followed by a pay increase
2. Multiple employees sharing one bank account
3. Changes entered and approved by the same user
4. Retrospective approval forms dated after the change","1. Master data change logs with user and timestamp
2. Authorised change forms
3. Bank verification evidence
4. Payroll master extract","1. Changes with verified authorisation
2. Duplicate bank account exceptions
3. Changes near cut-off"
IA-PAY-03,All industries,Payroll,Payroll Register Review and Authorisation,"The payroll is released without anyone reviewing the register against the prior period, so errors and fraudulent entries pass straight to the bank.",Someone independent looking at the payroll before it goes out is the last chance to catch anything wrong.,High,Financial,Confirm that the payroll register is reviewed on a meaningful basis and authorised by someone independent before payment.,"1. Pre-payment review of the register and variance to prior period
2. Investigation thresholds for movements and new joiners
3. Authorisation limits and who signs the pay run
4. Exception reports — negative pay, duplicate payments, high net pay, zero deductions
5. Evidence retained of the review","1. For a sample of pay runs, obtain the register and the reviewer evidence; re-perform the period-on-period variance analysis and test whether flagged items were investigated.
2. Test that the authoriser is independent of payroll preparation and within their authority.
3. Re-perform the exception reports on the payroll data and test whether the same exceptions were identified and cleared.
4. Test the completeness of the register reviewed against the payment file actually transmitted to the bank.","1. Sign-off dated after the payment was released
2. Variance review consisting of a total-only comparison
3. Exceptions cleared with the note ""checked""
4. Register reviewed by the person who prepared it","1. Payroll registers and variance analyses
2. Reviewer sign-offs
3. Exception reports
4. Bank payment files","1. Pay runs with evidenced review
2. Exceptions investigated
3. Variance threshold breaches"
IA-PAY-04,All industries,Payroll,Time and Attendance,"Hours paid are not the hours worked, because time records are entered, amended or approved by people who benefit from them.","People get paid for the hours recorded, so whoever controls the hours controls the cost.",High,Operational,"Assess whether time and attendance data is captured accurately, approved independently and flows unaltered into pay.","1. Time capture method and its integrity — biometric, badge, manual sheets
2. Supervisor approval of hours and whether it is exercised
3. Amendments to submitted time records and who makes them
4. Buddy punching and remote clock-in controls
5. Interface integrity between the time system and payroll","1. Reconcile hours approved in the time system to hours paid in the register and investigate differences.
2. Analyse time record amendments by user; amendments by payroll or by the employee themselves warrant testing.
3. Test approval evidence for a sample of timesheets and identify approvals granted after the pay run.
4. Where clock-in is remote or app-based, test the location and device controls.
5. Analyse employees with implausible patterns — identical hours every period, hours exceeding shift length.","1. Approvals granted in bulk seconds apart
2. Amendments concentrated with one supervisor
3. Employees clocked in at two locations
4. Manual timesheets replacing system capture for particular teams","1. Time and attendance system extract
2. Approval logs
3. Amendment audit trail
4. Payroll register
5. Shift rosters","1. Hours approved vs. paid variance
2. Amendments per user
3. Late approvals"
IA-PAY-05,All industries,Payroll,"Overtime, Premiums and Variable Pay","Overtime, shift premiums, bonuses and commissions are claimed and approved without support, or calculated on the wrong basis.","Overtime and bonuses are the variable part of pay, which makes them the part worth claiming falsely.",High,Fraud,"Confirm that variable pay is earned, supported, correctly calculated and approved within authority.","1. Overtime authorisation before it is worked, not after
2. Premium and allowance eligibility rules and their application
3. Bonus and commission calculation against plan rules
4. Approval authority and self-approval risk
5. Concentration by employee, supervisor and cost centre","1. Analyse overtime by employee and supervisor as a percentage of base pay; test the top decile to pre-approval and time records.
2. Recompute a sample of shift premiums and allowances against the eligibility rules in the agreement or policy.
3. Recompute a sample of bonus and commission payments against the plan and the approved performance outcome.
4. Test for supervisors approving their own or a related party's variable pay.","1. Overtime approved after the period worked
2. The same employees at the top of the overtime list every period
3. Allowances continuing after the qualifying condition ended
4. Commission paid on cancelled or unpaid sales","1. Payroll register with pay element detail
2. Overtime authorisations
3. Union agreements and pay policies
4. Bonus and commission plan documents","1. Overtime as % of base pay
2. Variable pay recomputation errors
3. Self-approved payments"
IA-PAY-06,All industries,Payroll,Statutory Deductions and Remittances,"Statutory deductions are calculated on the wrong basis or remitted late, exposing the organisation to interest, penalties and employee claims.",Tax and social security deducted from staff belongs to the authorities. Paying it late brings penalties immediately.,High,Compliance,"Confirm that statutory deductions are correct, complete and remitted within the required deadlines.","1. Tax code and withholding table maintenance and update timing
2. Pension, social security and levy calculations
3. Remittance deadlines by jurisdiction and evidence of payment
4. Year-end reporting and employee statements
5. Treatment of benefits in kind and taxable allowances","1. Recompute statutory deductions for a sample of employees across pay bands and jurisdictions.
2. Test that withholding tables were updated on the statutory effective date, not later.
3. Agree remittances to the authority receipts and test the payment date against the deadline; quantify interest and penalties.
4. Test the treatment of benefits in kind, allowances and expense reimbursements for correct taxability.
5. Reconcile year-end statements to the payroll ledger.","1. Penalties recurring period after period
2. Tables updated retrospectively after an authority query
3. Benefits paid through expenses to avoid tax
4. Reconciling differences at year end carried forward unexplained","1. Payroll register and deduction reports
2. Authority remittance receipts and correspondence
3. Withholding table configuration
4. Year-end statements and reconciliations","1. Remittances on time %
2. Penalties and interest incurred
3. Deduction recomputation errors"
IA-PAY-07,All industries,Payroll,"Joiners, Leavers and Final Settlements","New starters are paid before onboarding is complete and leavers continue to be paid after their exit date, or receive settlements outside policy.","People get paid after they leave more often than anyone expects, and it is rarely recovered.",High,Financial,Confirm that pay starts and stops on the correct date and that final settlements are calculated and approved correctly.,"1. Timeliness of new starter set-up and first payment accuracy
2. Leaver notification from HR to payroll and the cut-off applied
3. Final settlement components — notice, accrued leave, severance
4. Approval authority for settlements and ex gratia payments
5. Recovery of overpayments after exit","1. Reconcile the payroll population to the HR active employee list and investigate every difference in both directions.
2. For all leavers in the period, test that pay ceased on the exit date and recompute the final settlement.
3. Test severance and ex gratia payments to the approval authority matrix and to any settlement agreement.
4. Quantify overpayments to leavers and test the recovery outcome.
5. Test first-payment accuracy for a sample of new starters, including pro-rating.","1. Payments continuing one or more periods after exit
2. Settlements approved by the departing employee's own manager alone
3. Overpayments written off without attempt at recovery
4. Leaver notifications arriving after the pay run repeatedly","1. HR joiner and leaver reports
2. Payroll register
3. Settlement calculations and agreements
4. Overpayment recovery records","1. Payments after exit date
2. Days from exit to payroll cut-off
3. Overpayments recovered %"
IA-PAY-08,All industries,Payroll,Leave and Employee Benefit Accruals,"Accrued leave, long service and benefit liabilities are misstated because entitlement rules are applied inconsistently or balances are never verified.",Unused holiday and long-service benefits are a real liability that builds quietly on the balance sheet.,Medium,Financial,Confirm that leave and benefit balances reflect entitlement and are accurately valued.,"1. Entitlement rules by contract type and their configuration
2. Leave taken recorded against the balance
3. Carry-over, expiry and cap rules
4. Valuation basis for the accrual, including on-costs
5. Long service, sabbatical and other long-term benefit provisions","1. Recompute leave balances for a sample of employees from entitlement, accrual and leave taken.
2. Test that leave actually taken is recorded — compare rosters or absence records to leave deductions.
3. Test carry-over and expiry rules against policy and identify balances exceeding caps.
4. Recompute the accrual valuation including employer on-costs and agree to the ledger.","1. Employees with balances far above the cap
2. Leave taken but never deducted from the balance
3. Accrual valued at current salary where policy requires otherwise
4. Manual adjustments to balances without approval","1. Leave management system extract
2. Employment contracts and leave policy
3. Accrual calculations
4. General ledger balances","1. Leave balances above cap
2. Accrual recomputation variance
3. Manual balance adjustments"
IA-PAY-09,All industries,Payroll,Payroll Payment Execution and Bank Controls,"The payment file is altered between approval of the payroll and transmission to the bank, or payments are made from accounts outside treasury control.",The file sent to the bank is what actually pays people. It must match what was approved.,High,Fraud,"Confirm that the amount authorised is the amount paid, and that payroll banking is controlled.","1. Integrity of the payment file between payroll and bank — hash totals, control counts
2. Authorisation of the payment file at the bank and dual release
3. Payroll bank account mandates and signatories
4. Manual, off-cycle and emergency payments
5. Returned and unpresented payments","1. Agree total value and record count on the approved register to the file transmitted to the bank for a sample of runs.
2. Test that release at the bank requires two approvers independent of payroll preparation.
3. Test all off-cycle and manual payments for authorisation and business reason.
4. Review returned payments and test where the funds were redirected.
5. Confirm payroll bank mandates against the approved signatory list.","1. Payment file totals differing from the approved register
2. Off-cycle payments used routinely
3. Returned payments re-issued to a different account
4. Payroll accounts with signatories no longer employed","1. Approved payroll registers
2. Bank payment files and transmission logs
3. Bank mandates
4. Off-cycle payment approvals","1. Register to bank file variances
2. Off-cycle payments per period
3. Payments released single-handed"
IA-PAY-10,All industries,Payroll,Outsourced Payroll Provider Oversight,"Payroll is outsourced but the risk is not, and the organisation cannot evidence that the provider's controls actually operate.","Using a payroll provider does not transfer the responsibility. If they get it wrong, your staff are unpaid.",Medium,Strategic,"Assess whether an outsourced payroll arrangement is governed, assured and recoverable.","1. Contract terms — service levels, liability, audit rights, data protection
2. Assurance obtained, such as a service auditor report, and whether it is read
3. Complementary user entity controls the organisation must perform
4. Data transfer security and employee data protection
5. Exit and continuity planning if the provider fails","1. Obtain the provider's service auditor report; identify the complementary user controls and test whether the organisation actually performs each one.
2. Review report exceptions and test whether management assessed their impact.
3. Test the reconciliation performed on data returned by the provider before it is accepted.
4. Review the contract for audit rights and data protection terms, and test whether any audit has been exercised.
5. Assess the continuity plan for running payroll if the provider became unavailable.","1. Service auditor report received but never opened
2. Complementary user controls not even identified
3. Provider output accepted without reconciliation
4. No plan for a pay run if the provider fails","1. Outsourcing contract
2. Service auditor reports
3. Reconciliations of provider output
4. Service level reporting
5. Continuity plan","1. Complementary controls performed
2. Report exceptions assessed
3. Date of last provider review"
IA-PAY-11,All industries,Payroll,"Payroll Reconciliation, Cost Analysis and Ghost Employees","Payroll is not reconciled to the general ledger or to headcount, so fabricated employees and systematic errors persist undetected.",Comparing payroll to HR records is how you find people being paid who do not exist.,High,Fraud,"Confirm payroll costs reconcile to the ledger and to a verified workforce, and test for fictitious employees.","1. Reconciliation of payroll to the general ledger and to headcount
2. Cost per head and payroll cost trend analysis by department
3. Existence verification of employees
4. Employees with no leave taken, no deductions or no email account
5. Bank account and address matching across the population","1. Reconcile total payroll cost to the general ledger for each period and test unexplained differences.
2. Reconcile paid headcount to HR records and to an independent source such as building access or IT accounts; investigate every unmatched name.
3. Test for employees who never take leave, have no tax deductions, or share bank details with another employee.
4. For a sample of employees, verify existence through independent confirmation — line manager attestation, access records, or physical verification.
5. Analyse payroll cost per head by department against expectation.","1. Employees with no system account and no leave history
2. Payroll to ledger differences carried as a rounding plug
3. Headcount reported by HR differing persistently from payroll
4. New employees created shortly before the pay run and removed after","1. Payroll registers and general ledger
2. HR headcount reports
3. Building access and IT account listings
4. Leave records
5. Bank detail analytics","1. Payroll to GL differences
2. Unmatched paid employees
3. Employees with zero leave taken"
IA-TL-01,Transportation and logistics,Fleet & Asset Management,Vehicle Acquisition & Disposal,"Vehicles are acquired outside the approved capital plan, or disposed of below market value to related parties.",Vehicles are valuable and easy to sell cheaply to the wrong person if nobody is watching the disposal.,High,Operational,"Confirm fleet additions and disposals are authorised, competitively sourced, and disposal proceeds are complete and at arm's length.","1. Capital plan approval and variance to actual additions
2. Tender or quotation file for each acquisition above threshold
3. Disposal method used — auction, trade-in, private sale
4. Relationship of buyers to employees
5. Residual value assumptions versus realised proceeds","1. Reconcile the fixed asset register to the fleet management system and vehicle licensing records; investigate units in one and not the other.
2. Select a sample of additions and trace to capital plan approval, business case and competitive quotes.
3. For all disposals in the period, recompute gain/loss and agree proceeds to bank receipt.
4. Match buyer names and addresses against the employee and vendor master for related-party indicators.
5. Compare realised proceeds against an independent used-vehicle price guide for a sample of units.","1. Disposals clustered just below the approval threshold
2. Repeat buyers across multiple disposals
3. Units written down shortly before sale
4. Assets still insured or licensed after recorded disposal","1. Fixed asset register
2. Fleet management system extract
3. Provincial/state vehicle registration records
4. Auction settlement statements
5. Capital approval minutes","1. Average fleet age
2. Disposal proceeds vs. book value
3. % acquisitions within approved plan"
IA-TL-02,Transportation and logistics,Fleet & Asset Management,Fuel Management,"Fuel is drawn for personal vehicles or resold, and the loss is buried in normal consumption variance.","Fuel is easy to take and hard to trace, which makes it one of the most common losses in any fleet business.",High,Fraud,"Determine whether fuel consumption is complete, authorised, and reconciled to vehicle activity at the unit level.","1. Fuel card issuance and cancellation process
2. Card-to-vehicle-to-driver assignment integrity
3. Consumption per kilometre by unit against the fleet norm
4. Transactions outside route, hours, or tank capacity
5. Reconciliation of bulk fuel site dips to dispensed volumes","1. Obtain the full fuel card transaction file and join it to telematics GPS data; test for fills where the vehicle was more than 5 km from the station.
2. Test for fill volumes exceeding the unit's tank capacity, and for two fills of the same card within a short window.
3. Rank units by litres per 100 km and investigate the outlier tail with the terminal manager.
4. Confirm cards for terminated drivers were cancelled within the policy window.
5. For bulk sites, reconcile deliveries plus opening dip less closing dip to dispensed volumes; investigate unexplained shrinkage.","1. Fills on non-operating days or outside shift hours
2. Odometer readings entered as round numbers or unchanged
3. Consumption spikes confined to one terminal
4. Manual PIN overrides at the pump","1. Fuel card provider transaction extract
2. Telematics / GPS trip data
3. Driver roster and termination list
4. Bulk fuel delivery notes and dip records","1. Litres per 100 km by unit
2. Fuel cost per revenue kilometre
3. Exception rate on card-to-GPS match"
IA-TL-03,Transportation and logistics,Fleet & Asset Management,Maintenance & Roadworthiness,"Preventive maintenance is deferred to protect operating margin, exposing the company to breakdowns, accidents and regulatory sanction.","Skipping maintenance saves money this month and causes breakdowns, accidents and regulator action later.",High,Compliance,Assess whether the maintenance programme is executed on schedule and whether defects reported by drivers are actually closed.,"1. Preventive maintenance schedule compliance by unit
2. Driver vehicle inspection reports and defect close-out
3. Out-of-service orders and roadside inspection results
4. Third-party repair vendor rates versus contract
5. Warranty claim recovery","1. Extract the PM schedule and compute on-time completion by terminal; test whether overdue units continued in revenue service.
2. Trace a sample of driver-reported defects through to a work order and confirmed repair, measuring days open.
3. Obtain regulator roadside inspection data and reconcile out-of-service findings to internal maintenance records.
4. Recompute a sample of third-party repair invoices against contracted labour rates and parts mark-up.","1. Defects repeatedly re-reported on the same unit
2. PM completions recorded in bulk at period end
3. High share of repairs at a single vendor
4. Inspection sign-offs by staff not on shift","1. Maintenance management system work orders
2. Driver inspection reports
3. Regulator inspection database
4. Repair vendor contracts and invoices","1. PM on-time completion %
2. Roadside out-of-service rate
3. Mean time between failures"
IA-TL-04,Transportation and logistics,Freight Revenue & Billing,Freight Billing Accuracy,"Shipments are delivered but never invoiced, or are invoiced at the wrong rate, weight or accessorial — revenue leakage that never appears in a variance.","Delivering a shipment and never invoicing it is pure lost revenue, and it does not show up as a variance anywhere.",High,Financial,"Verify that every delivered shipment is billed, once, at the contracted rate, with all applicable accessorial charges captured.","1. Shipment-to-invoice completeness
2. Rate table maintenance and approval
3. Accessorial charge capture — waiting time, residential, re-delivery, fuel surcharge
4. Dimensional weight re-measurement
5. Manual rate overrides and credits","1. Reconcile delivered shipments in the operations system to invoiced shipments in billing; quantify and age the unbilled population.
2. Re-price a sample of invoices independently from the contract rate table and quantify the variance.
3. Analyse manual rate overrides by user; test the largest for approval evidence.
4. Test dimensional re-weigh exceptions to confirm the corrected charge was billed.
5. Analyse credit notes by reason code, customer and issuer for concentration.","1. Unbilled shipments ageing beyond the billing window
2. Overrides concentrated in one user or customer
3. Accessorial capture rate far below peer terminals
4. Credits issued shortly after month end","1. Operations shipment file
2. Billing system invoice extract
3. Customer contract rate tables
4. Scale and dimensioner data
5. Credit note register","1. Revenue leakage as % of billed revenue
2. Unbilled shipment ageing
3. Credit notes as % of revenue"
IA-TL-05,Transportation and logistics,Freight Revenue & Billing,Customer Contracts & Pricing,"Discounts and fuel surcharge caps are granted outside delegated authority, eroding margin on long-term contracts.",Discounts agreed by salespeople outside their authority quietly erode the margin on multi-year contracts.,Medium,Financial,Confirm customer pricing reflects properly authorised terms and that contract profitability is monitored after signature.,"1. Delegation of authority for discounting
2. Fuel surcharge mechanism and caps
3. Contract profitability review after award
4. Renewal and evergreen clauses
5. Volume commitment enforcement","1. Select the largest contracts by revenue and agree discount levels to the delegation of authority matrix.
2. Recompute the fuel surcharge applied against the contractual index for a sample of months.
3. Compare contracted volume commitments to actual shipped volumes and test whether shortfall charges were billed.
4. Review post-award profitability reporting and test whether loss-making contracts are escalated.","1. Discounts approved by the salesperson's direct report only
2. Surcharge caps not reflected in the rate engine
3. Contracts auto-renewing without repricing
4. Margin below cost-to-serve with no escalation","1. Signed customer contracts
2. Delegation of authority matrix
3. Rate engine configuration
4. Contract profitability reports","1. Average discount %
2. Contribution margin by contract
3. % contracts repriced at renewal"
IA-TL-06,Transportation and logistics,Network Operations,Linehaul & Capacity Planning,"Purchased transportation is bought at spot rates when contracted capacity was available, inflating cost per shipment.",Buying transport at short notice costs far more than using capacity already under contract.,Medium,Operational,Evaluate whether linehaul capacity decisions follow the planning process and whether purchased transportation is procured at the best available rate.,"1. Load planning and trailer utilisation
2. Contracted versus spot carrier mix
3. Empty-mile and deadhead analysis
4. Carrier rate confirmation versus invoice
5. Detention and demurrage charges","1. Analyse trailer cube and weight utilisation by lane; identify structurally under-loaded lanes.
2. Compare spot purchases to available contracted capacity on the same lane and date; quantify the premium paid.
3. Recompute a sample of carrier invoices against the rate confirmation, including accessorials and detention.
4. Test the approval trail for spot buys above the contracted rate.","1. Spot buys concentrated with one broker
2. Repeated detention charges at the same terminal
3. Utilisation reported without reconciliation to scale data
4. Rate confirmations issued after the move","1. Transportation management system load data
2. Carrier contracts and rate confirmations
3. Carrier invoices
4. Terminal dock schedules","1. Trailer utilisation %
2. Empty miles %
3. Spot vs. contract rate premium"
IA-TL-07,Transportation and logistics,Network Operations,Terminal & Warehouse Operations,"Cargo is lost, damaged or stolen in the terminal and the loss is absorbed as an operating expense without root-cause investigation.","Freight changes hands repeatedly in a terminal, and each handover is an opportunity for it to go missing.",High,Operational,Assess the integrity of custody controls over freight in the terminal and the completeness of loss reporting.,"1. Chain-of-custody scanning at each handoff
2. Physical security — access control, CCTV coverage, seal integrity
3. High-value and controlled-goods segregation
4. Overage, shortage and damage reporting
5. Claims recovery from carriers and insurers","1. Walk the terminal and observe scanning discipline at induction, sort and load; compare observed practice to the procedure.
2. Extract shipments with a missing scan event and test whether each was investigated.
3. Test seal number recording against trailer manifests for inbound and outbound loads.
4. Reconcile the OS&D log to claims paid and to the general ledger loss account.
5. Review terminal access lists against active employee records.","1. Losses clustered by shift, lane or employee
2. Seal numbers recorded as sequential or blank
3. CCTV coverage gaps at high-value cages
4. Claims written off below the investigation threshold","1. Scan event data
2. OS&D log
3. Claims register
4. Access control logs and CCTV retention records
5. Trailer seal manifests","1. Loss ratio per million shipments
2. Claims paid vs. recovered
3. Scan compliance %"
IA-TL-08,Transportation and logistics,Safety & Regulatory Compliance,Driver Hours & Licensing,"Drivers operate beyond legal hours-of-service limits or with lapsed licences and medical certification, creating liability and regulatory exposure.",Drivers over their legal hours or without valid licences create liability the company cannot insure away.,High,Compliance,Determine whether driver qualification files are complete and hours-of-service limits are monitored and enforced.,"1. Driver qualification file completeness
2. Licence and medical certificate expiry monitoring
3. Electronic logging device data and edits
4. Hours-of-service violation follow-up
5. Use of owner-operators and their compliance status","1. Sample driver files and test for licence, abstract, medical certificate, training records and annual review.
2. Extract ELD data and quantify violations by driver and terminal; test disciplinary follow-up for the most frequent offenders.
3. Analyse ELD log edits by user — edits made by dispatch rather than the driver warrant challenge.
4. Cross-check active drivers against the licence expiry report on the audit date.","1. Log edits concentrated near the violation threshold
2. Unassigned driving time
3. Drivers dispatched with expired medicals
4. Owner-operators outside the compliance monitoring scope","1. Driver qualification files
2. ELD/telematics hours data
3. Licence abstract monitoring reports
4. Dispatch records","1. HOS violations per 1,000 driving hours
2. % driver files complete
3. Unassigned driving time hours"
IA-TL-09,Transportation and logistics,Safety & Regulatory Compliance,Dangerous Goods & Customs,"Dangerous goods are accepted, or cross-border shipments are declared, without the required documentation and classification, exposing the company to penalties and shipment seizure.","Dangerous goods and customs errors stop shipments and bring penalties, sometimes personal ones.",High,Compliance,"Confirm regulated shipments are correctly classified, documented and handled by trained personnel.","1. Dangerous goods acceptance and classification
2. Training and certification currency for handlers
3. Customs declaration accuracy and tariff classification
4. Denied-party and sanctions screening
5. Broker performance and record retention","1. Sample dangerous goods shipments and test declaration, placarding, packaging and handler certification.
2. Re-perform tariff classification on a sample of cross-border shipments and quantify duty variance.
3. Test that denied-party screening runs on every consignee and that hits are cleared by compliance, not operations.
4. Review regulator correspondence, penalties and corrective action closure.","1. Screening exceptions cleared by the booking agent
2. Classification changed after a duty query
3. Training certificates expiring without replacement
4. Recurring penalties for the same defect","1. Dangerous goods declarations
2. Training register
3. Customs entries and broker files
4. Screening system logs
5. Regulator penalty notices","1. DG documentation error rate
2. Customs entry amendment rate
3. % handlers certified"
IA-TL-10,Transportation and logistics,Third Party Management,Owner-Operator & Subcontract Carriers,"Subcontracted carriers are engaged without insurance, safety rating or contract, transferring their liability back to the company.","When another carrier moves your freight, their insurance and safety record become your problem.",High,Compliance,"Verify that every carrier moving freight has been qualified, contracted and monitored throughout the engagement.","1. Carrier onboarding and qualification checks
2. Insurance certificate currency and limits
3. Safety rating monitoring after onboarding
4. Contract coverage and indemnity terms
5. Payment to carriers not in the approved master","1. Reconcile carriers paid in the period to the approved carrier master; investigate every payee not on the master.
2. Test insurance certificate expiry against the dates freight was actually tendered to each carrier.
3. Re-check current safety ratings for the top carriers by spend and test escalation of downgrades.
4. Review contracts for indemnity, sub-contracting prohibition and audit rights.","1. Carriers paid with no contract on file
2. Insurance lapses covered by an expired certificate on file
3. Freight tendered to carriers with conditional safety ratings
4. Single-source lanes without competitive review","1. Carrier master data
2. Accounts payable carrier spend
3. Insurance certificates
4. Regulator safety rating database
5. Carrier contracts","1. % carrier spend under contract
2. Insurance lapse exceptions
3. % spend with conditional-rated carriers"
IA-X-01,All industries,Procure to Pay,Vendor Master & Payments,"Payments are made to fictitious vendors, or to genuine vendors at bank details altered by a fraudster.",Payments to suppliers are the most common route for money to leave a company fraudulently.,High,Fraud,Determine whether vendor master changes are independently verified and whether the payment population contains indicators of fraud or duplication.,"1. Vendor creation and bank change verification
2. Segregation between vendor maintenance, invoice entry and payment release
3. Duplicate payment detection
4. Employee-to-vendor data matching
5. Dormant vendor reactivation","1. Match the vendor master against the employee master on bank account, address, tax ID and phone number.
2. Test all bank detail changes in the period for evidence of independent call-back verification to a number obtained from an independent source.
3. Run duplicate payment analytics on invoice number, amount, date and vendor across near-matches.
4. Identify vendors reactivated after long dormancy and test the first payment after reactivation.
5. Test system access to confirm no user can both maintain the vendor and release the payment.","1. Bank change immediately followed by a large payment
2. Vendors sharing a bank account
3. Invoices just below the approval threshold
4. Vendor address matching an employee address","1. Vendor master change log
2. Employee master
3. Payment run files
4. ERP access and role assignments","1. Duplicate payments recovered
2. % bank changes with verified call-back
3. Vendor master exception count"
IA-X-03,All industries,IT & Technology,Access Management,"Users retain access after role change or termination, or hold combinations of access that allow a transaction to be initiated and approved by the same person.","People who change jobs or leave often keep their old system access, which is how small problems become large ones.",High,IT,"Assess whether logical access is granted, reviewed and removed in line with role requirements and segregation of duties rules.","1. Joiner, mover and leaver processing
2. Periodic user access recertification
3. Privileged and generic account use
4. Segregation of duties conflict matrix
5. Access to production data and direct database changes","1. Reconcile active system accounts to the active employee list; test every orphan account.
2. Measure elapsed days from termination to access removal across all leavers in the period.
3. Run the SoD conflict matrix against current role assignments and quantify unmitigated conflicts.
4. Test whether the last recertification was completed by the business owner and whether flagged removals actually occurred.
5. Review privileged account activity logs for direct data changes outside change management.","1. Recertification approved in bulk on a single day
2. Generic accounts shared by a team
3. Firefighter access left permanently enabled
4. Removals flagged but never executed","1. User access listings by system
2. HR joiner/leaver data
3. Recertification evidence
4. Privileged activity logs","1. Days to revoke access
2. Unmitigated SoD conflicts
3. % accounts recertified on time"
IA-X-04,All industries,Governance & Entity Level Controls,Whistleblower & Conflicts of Interest,"Concerns raised through the ethics line are not investigated independently, or undisclosed conflicts of interest influence supplier selection.","If people do not trust the confidential reporting line, management is the last to know about problems.",Medium,Strategic,"Evaluate whether the ethics reporting channel is trusted and effective, and whether conflicts of interest are disclosed and managed.","1. Ethics line availability, anonymity and awareness
2. Case triage, investigation independence and closure
3. Conflict of interest declaration completeness
4. Related-party transactions with declared interests
5. Retaliation monitoring","1. Review the case log for volume, category, ageing and closure quality; test a sample end to end.
2. Test whether cases implicating management were investigated by someone outside that reporting line.
3. Reconcile conflict of interest declarations to the employee population and test completeness for decision-makers.
4. Match declared interests against the vendor master and investigate transactions with connected parties.","1. Very low case volume relative to headcount
2. Cases closed as unsubstantiated with no documented work
3. Declarations missing from procurement and finance staff
4. Reporters subsequently exiting the business","1. Ethics case management log
2. Conflict of interest declarations
3. Vendor master
4. Exit interview records","1. Cases per 1,000 employees
2. Average days to close
3. % declarations completed"
